IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.110.88,2096,2096,true,SIN,Asia Pacific,Singapore,21,11.26
8.219.60.130,8080,8080,false,SIN,Asia Pacific,Singapore,10,11.26
47.236.166.184,2082,2082,false,SIN,Asia Pacific,Singapore,11,11.25
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,67,11.25
8.219.222.98,2052,2052,false,SIN,Asia Pacific,Singapore,9,11.24
8.219.100.155,8080,8080,false,SIN,Asia Pacific,Singapore,37,11.24
8.222.168.24,80,80,false,SIN,Asia Pacific,Singapore,27,11.24
47.245.11.216,2095,2095,false,HKG,Asia Pacific,Hong Kong,166,11.24
8.219.50.180,443,443,true,SIN,Asia Pacific,Singapore,102,11.24
47.245.33.163,2096,2096,true,NRT,Asia Pacific,Tokyo,171,11.23
8.219.42.72,2053,2053,true,SIN,Asia Pacific,Singapore,83,11.23
47.91.2.165,2096,2096,true,LAX,North America,Los Angeles,178,11.23
8.222.244.123,2082,2082,false,SIN,Asia Pacific,Singapore,13,11.23
47.74.15.80,2086,2086,false,LAX,North America,Los Angeles,175,11.23
47.245.54.197,2083,2083,true,LAX,North America,Los Angeles,303,11.23
8.222.145.164,2083,2083,true,SIN,Asia Pacific,Singapore,66,11.23
8.209.214.157,2087,2087,true,NRT,Asia Pacific,Tokyo,111,11.23
8.219.73.188,2083,2083,true,SIN,Asia Pacific,Singapore,51,11.22
8.219.228.30,2087,2087,true,SIN,Asia Pacific,Singapore,93,11.22
8.219.6.187,2086,2086,false,SIN,Asia Pacific,Singapore,3,11.22
8.219.93.85,8080,8080,false,SIN,Asia Pacific,Singapore,51,11.22
47.245.28.255,2053,2053,true,NRT,Asia Pacific,Tokyo,124,11.22
8.222.193.208,2083,2083,true,SIN,Asia Pacific,Singapore,42,11.22
8.219.178.101,8880,8880,false,SIN,Asia Pacific,Singapore,3,11.22
8.219.55.31,8880,8880,false,LAX,North America,Los Angeles,173,11.21
8.219.0.162,2083,2083,true,SIN,Asia Pacific,Singapore,88,11.21
47.91.14.69,2082,2082,false,HKG,Asia Pacific,Hong Kong,168,11.21
8.219.73.188,443,443,true,SIN,Asia Pacific,Singapore,122,11.20
47.91.3.112,80,80,false,SIN,Asia Pacific,Singapore,154,11.20
47.74.34.162,8443,8443,true,HKG,Asia Pacific,Hong Kong,286,11.20
8.219.102.252,8880,8880,false,SIN,Asia Pacific,Singapore,19,11.20
8.219.164.237,443,443,true,SIN,Asia Pacific,Singapore,134,11.20
8.222.236.229,2087,2087,true,SIN,Asia Pacific,Singapore,89,11.20
8.209.240.227,2086,2086,false,NRT,Asia Pacific,Tokyo,74,11.20
47.74.22.171,8443,8443,true,LAX,North America,Los Angeles,264,11.20
8.222.253.235,8443,8443,true,SIN,Asia Pacific,Singapore,68,11.20
47.245.9.99,8080,8080,false,HKG,Asia Pacific,Hong Kong,178,11.20
8.222.221.86,2082,2082,false,SIN,Asia Pacific,Singapore,11,11.19
47.74.49.62,2086,2086,false,LAX,North America,Los Angeles,174,11.19
