IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
150.230.219.168,80,80,false,SIN,Asia Pacific,Singapore,148,5.83
158.101.81.4,2082,2082,false,HKG,Asia Pacific,Hong Kong,196,5.83
150.230.213.95,2096,2096,true,LAX,North America,Los Angeles,205,5.83
158.101.142.103,2087,2087,true,HKG,Asia Pacific,Hong Kong,173,5.83
141.147.162.204,2095,2095,false,SIN,Asia Pacific,Singapore,160,5.83
140.83.35.172,2095,2095,false,LAX,North America,Los Angeles,235,5.83
140.238.44.118,2087,2087,true,LAX,North America,Los Angeles,227,5.83
168.138.202.145,2053,2053,true,NRT,Asia Pacific,Tokyo,112,5.83
168.138.197.222,2096,2096,true,SIN,Asia Pacific,Singapore,275,5.82
138.2.8.232,2083,2083,true,HKG,Asia Pacific,Hong Kong,148,5.82
158.101.152.221,2096,2096,true,HKG,Asia Pacific,Hong Kong,223,5.82
158.101.88.214,2095,2095,false,SIN,Asia Pacific,Singapore,145,5.81
150.230.219.83,8080,8080,false,LAX,North America,Los Angeles,240,5.81
140.83.37.200,2095,2095,false,SIN,Asia Pacific,Singapore,157,5.81
132.145.117.216,8880,8880,false,SIN,Asia Pacific,Singapore,155,5.81
138.2.8.232,2087,2087,true,HKG,Asia Pacific,Hong Kong,241,5.80
131.186.34.244,2052,2052,false,HKG,Asia Pacific,Hong Kong,143,5.80
140.238.60.177,2087,2087,true,LAX,North America,Los Angeles,245,5.80
140.238.58.42,2083,2083,true,SIN,Asia Pacific,Singapore,159,5.80
131.186.38.135,8880,8880,false,NRT,Asia Pacific,Tokyo,77,5.79
168.138.212.74,2087,2087,true,HKG,Asia Pacific,Hong Kong,231,5.79
141.147.168.13,2082,2082,false,LAX,North America,Los Angeles,190,5.78
140.238.32.238,2087,2087,true,LAX,North America,Los Angeles,273,5.78
150.230.196.73,2083,2083,true,LAX,North America,Los Angeles,190,5.77
131.186.59.232,2053,2053,true,HKG,Asia Pacific,Hong Kong,135,5.77
140.238.50.32,8880,8880,false,SIN,Asia Pacific,Singapore,163,5.77
150.230.193.89,2083,2083,true,LAX,North America,Los Angeles,184,5.76
150.230.105.228,2082,2082,false,HKG,Asia Pacific,Hong Kong,136,5.76
131.186.61.45,8080,8080,false,HKG,Asia Pacific,Hong Kong,199,5.76
138.2.21.31,8880,8880,false,HKG,Asia Pacific,Hong Kong,143,5.76
131.186.62.26,8443,8443,true,LAX,North America,Los Angeles,210,5.76
132.145.120.103,8880,8880,false,NRT,Asia Pacific,Tokyo,76,5.75
131.186.43.107,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,5.75
150.230.216.34,2083,2083,true,NRT,Asia Pacific,Tokyo,91,5.75
138.2.13.133,8880,8880,false,SIN,Asia Pacific,Singapore,157,5.75
168.138.212.184,2087,2087,true,NRT,Asia Pacific,Tokyo,94,5.75
158.101.147.4,2086,2086,false,SIN,Asia Pacific,Singapore,147,5.74
131.186.44.38,2096,2096,true,HKG,Asia Pacific,Hong Kong,259,5.74
150.230.214.218,8443,8443,true,HKG,Asia Pacific,Hong Kong,152,5.74
141.147.189.242,8443,8443,true,HKG,Asia Pacific,Hong Kong,157,5.73
168.138.205.38,2082,2082,false,NRT,Asia Pacific,Tokyo,79,5.73
132.145.123.112,2095,2095,false,NRT,Asia Pacific,Tokyo,75,5.73
151.145.68.166,2095,2095,false,NRT,Asia Pacific,Tokyo,73,5.72
131.186.43.207,2087,2087,true,SIN,Asia Pacific,Singapore,241,5.72
138.2.29.102,80,80,false,LAX,North America,Los Angeles,186,5.72
131.186.47.255,80,80,false,LAX,North America,Los Angeles,231,5.72
131.186.38.135,2087,2087,true,HKG,Asia Pacific,Hong Kong,212,5.72
141.147.178.202,8443,8443,true,HKG,Asia Pacific,Hong Kong,151,5.71
140.83.36.42,2095,2095,false,LAX,North America,Los Angeles,236,5.71
132.145.120.197,2095,2095,false,HKG,Asia Pacific,Hong Kong,142,5.71
151.145.74.199,8443,8443,true,HKG,Asia Pacific,Hong Kong,151,5.70
132.145.120.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,226,5.70
138.2.14.209,2096,2096,true,HKG,Asia Pacific,Hong Kong,524,5.69
131.186.61.45,80,80,false,LAX,North America,Los Angeles,181,5.69
138.2.13.200,2082,2082,false,HKG,Asia Pacific,Hong Kong,144,5.68
150.230.200.210,2053,2053,true,SIN,Asia Pacific,Singapore,151,5.68
150.230.101.125,80,80,false,HKG,Asia Pacific,Hong Kong,140,5.68
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,81,5.68
158.101.150.126,2087,2087,true,SIN,Asia Pacific,Singapore,155,5.68
158.101.89.33,2082,2082,false,SIN,Asia Pacific,Singapore,202,5.67
140.238.35.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,195,5.67
168.138.196.237,2086,2086,false,LAX,North America,Los Angeles,182,5.66
131.186.47.223,2086,2086,false,SIN,Asia Pacific,Singapore,192,5.66
151.145.70.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,142,5.66
132.145.125.165,2083,2083,true,NRT,Asia Pacific,Tokyo,119,5.66
138.2.21.31,8443,8443,true,SIN,Asia Pacific,Singapore,203,5.66
141.147.168.159,2082,2082,false,HKG,Asia Pacific,Hong Kong,138,5.65
158.101.146.165,2087,2087,true,SIN,Asia Pacific,Singapore,219,5.65
138.3.214.43,2053,2053,true,LAX,North America,Los Angeles,202,5.65
158.101.88.214,2052,2052,false,LAX,North America,Los Angeles,186,5.65
131.186.41.255,2053,2053,true,LAX,North America,Los Angeles,256,5.65
158.101.149.81,2086,2086,false,HKG,Asia Pacific,Hong Kong,144,5.64
158.101.155.158,8443,8443,true,LAX,North America,Los Angeles,287,5.64
138.3.212.162,2083,2083,true,SIN,Asia Pacific,Singapore,159,5.64
158.101.149.81,80,80,false,NRT,Asia Pacific,Tokyo,77,5.64
158.101.150.74,2052,2052,false,HKG,Asia Pacific,Hong Kong,188,5.63
132.145.114.4,2096,2096,true,SIN,Asia Pacific,Singapore,165,5.63
129.150.44.39,80,80,false,SIN,Asia Pacific,Singapore,11,5.63
140.238.39.87,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,5.63
150.230.217.63,2052,2052,false,HKG,Asia Pacific,Hong Kong,140,5.63
168.138.206.236,2083,2083,true,LAX,North America,Los Angeles,302,5.62
138.3.215.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,192,5.62
151.145.69.105,80,80,false,HKG,Asia Pacific,Hong Kong,140,5.62
131.186.62.26,2053,2053,true,NRT,Asia Pacific,Tokyo,160,5.61
141.147.178.115,2083,2083,true,SIN,Asia Pacific,Singapore,162,5.61
140.238.54.149,8443,8443,true,NRT,Asia Pacific,Tokyo,161,5.61
151.145.74.199,8080,8080,false,HKG,Asia Pacific,Hong Kong,192,5.61
168.138.196.164,2087,2087,true,HKG,Asia Pacific,Hong Kong,144,5.60
129.150.44.39,443,443,true,SIN,Asia Pacific,Singapore,41,5.60
131.186.43.107,80,80,false,HKG,Asia Pacific,Hong Kong,144,5.60
141.147.191.132,2087,2087,true,HKG,Asia Pacific,Hong Kong,196,5.60
131.186.59.94,2052,2052,false,NRT,Asia Pacific,Tokyo,78,5.59
140.238.54.149,2053,2053,true,HKG,Asia Pacific,Hong Kong,209,5.59
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,79,5.59
150.230.205.56,2083,2083,true,SIN,Asia Pacific,Singapore,214,5.58
141.147.186.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,193,5.57
132.145.123.112,80,80,false,HKG,Asia Pacific,Hong Kong,187,5.57
158.101.139.42,2082,2082,false,LAX,North America,Los Angeles,182,5.56
143.47.231.66,443,443,true,FRA,Europe,Frankfurt,200,5.55
192.18.149.159,443,443,true,YYZ,North America,Toronto,222,5.55
150.230.204.117,80,80,false,HKG,Asia Pacific,Hong Kong,146,5.55
138.2.122.191,443,443,true,ICN,Asia Pacific,Seoul,143,5.54
138.3.217.39,2095,2095,false,SIN,Asia Pacific,Singapore,155,5.53
150.230.204.117,2087,2087,true,HKG,Asia Pacific,Hong Kong,141,5.53
131.186.63.184,2053,2053,true,LAX,North America,Los Angeles,208,5.53
131.186.36.248,2053,2053,true,LAX,North America,Los Angeles,275,5.53
168.138.206.236,2087,2087,true,HKG,Asia Pacific,Hong Kong,225,5.52
138.3.212.162,2096,2096,true,SIN,Asia Pacific,Singapore,147,5.52
150.230.213.95,8880,8880,false,SIN,Asia Pacific,Singapore,158,5.51
132.145.121.123,2096,2096,true,SIN,Asia Pacific,Singapore,158,5.51
168.138.196.164,2086,2086,false,HKG,Asia Pacific,Hong Kong,139,5.50
131.186.37.49,2096,2096,true,SIN,Asia Pacific,Singapore,197,5.50
140.238.34.208,2087,2087,true,HKG,Asia Pacific,Hong Kong,219,5.50
168.138.206.68,2087,2087,true,HKG,Asia Pacific,Hong Kong,262,5.49
138.2.21.31,2087,2087,true,HKG,Asia Pacific,Hong Kong,223,5.49
151.145.65.203,2087,2087,true,SIN,Asia Pacific,Singapore,153,5.49
132.145.121.34,2053,2053,true,HKG,Asia Pacific,Hong Kong,195,5.49
132.145.121.242,2086,2086,false,HKG,Asia Pacific,Hong Kong,135,5.48
168.138.194.121,2095,2095,false,NRT,Asia Pacific,Tokyo,82,5.48
158.101.146.160,2082,2082,false,LAX,North America,Los Angeles,186,5.48
132.145.121.125,8443,8443,true,LAX,North America,Los Angeles,205,5.47
168.138.206.68,2095,2095,false,LAX,North America,Los Angeles,184,5.47
158.101.131.218,8080,8080,false,HKG,Asia Pacific,Hong Kong,143,5.47
158.101.149.81,2053,2053,true,HKG,Asia Pacific,Hong Kong,158,5.47
138.3.222.204,2087,2087,true,HKG,Asia Pacific,Hong Kong,147,5.47
140.238.58.42,8880,8880,false,SIN,Asia Pacific,Singapore,200,5.47
141.147.175.230,2096,2096,true,SIN,Asia Pacific,Singapore,156,5.47
158.101.147.4,8080,8080,false,HKG,Asia Pacific,Hong Kong,192,5.46
132.145.117.216,2053,2053,true,NRT,Asia Pacific,Tokyo,82,5.46
151.145.74.199,2052,2052,false,HKG,Asia Pacific,Hong Kong,192,5.46
141.147.170.160,2087,2087,true,NRT,Asia Pacific,Tokyo,128,5.46
168.138.195.31,80,80,false,SIN,Asia Pacific,Singapore,160,5.46
158.101.140.154,2096,2096,true,HKG,Asia Pacific,Hong Kong,191,5.45
140.238.39.33,2052,2052,false,LAX,North America,Los Angeles,182,5.45
131.186.63.127,2095,2095,false,LAX,North America,Los Angeles,247,5.45
168.138.206.236,8880,8880,false,HKG,Asia Pacific,Hong Kong,192,5.45
140.238.40.136,2086,2086,false,LAX,North America,Los Angeles,183,5.45
158.101.158.238,2083,2083,true,LAX,North America,Los Angeles,225,5.44
131.186.38.135,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,5.44
158.101.142.103,8880,8880,false,NRT,Asia Pacific,Tokyo,75,5.44
150.230.199.118,2083,2083,true,LAX,North America,Los Angeles,238,5.43
131.186.63.184,80,80,false,LAX,North America,Los Angeles,233,5.43
151.145.71.127,80,80,false,LAX,North America,Los Angeles,234,5.42
151.145.74.56,2096,2096,true,SIN,Asia Pacific,Singapore,210,5.42
168.138.217.146,2082,2082,false,SIN,Asia Pacific,Singapore,158,5.42
168.138.207.64,8443,8443,true,NRT,Asia Pacific,Tokyo,122,5.42
151.145.69.174,80,80,false,SIN,Asia Pacific,Singapore,200,5.42
138.2.6.15,2052,2052,false,SIN,Asia Pacific,Singapore,203,5.41
138.3.212.226,8443,8443,true,LAX,North America,Los Angeles,182,5.41
152.67.222.167,443,443,true,ICN,Asia Pacific,Seoul,94,5.41
168.138.195.31,2096,2096,true,LAX,North America,Los Angeles,284,5.40
150.230.200.210,8880,8880,false,LAX,North America,Los Angeles,186,5.40
132.145.123.143,2082,2082,false,HKG,Asia Pacific,Hong Kong,190,5.39
158.101.158.238,2082,2082,false,LAX,North America,Los Angeles,183,5.39
158.101.145.246,2096,2096,true,SIN,Asia Pacific,Singapore,206,5.38
138.2.13.133,2082,2082,false,HKG,Asia Pacific,Hong Kong,186,5.38
138.3.214.43,2052,2052,false,HKG,Asia Pacific,Hong Kong,186,5.38
140.238.44.118,2096,2096,true,LAX,North America,Los Angeles,206,5.37
138.3.212.162,2052,2052,false,HKG,Asia Pacific,Hong Kong,186,5.37
140.238.48.97,2082,2082,false,LAX,North America,Los Angeles,180,5.37
158.101.140.255,2053,2053,true,HKG,Asia Pacific,Hong Kong,231,5.36
131.186.38.135,2083,2083,true,HKG,Asia Pacific,Hong Kong,198,5.35
150.230.213.95,2053,2053,true,HKG,Asia Pacific,Hong Kong,139,5.35
158.101.95.113,2082,2082,false,SIN,Asia Pacific,Singapore,148,5.34
