IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.251.139,443,443,true,FRA,Europe,Frankfurt,176,9.52
34.116.195.249,443,443,true,FRA,Europe,Frankfurt,194,9.50
34.34.50.120,443,443,true,FRA,Europe,Frankfurt,177,9.50
34.65.151.75,443,443,true,FRA,Europe,Frankfurt,172,9.48
34.116.147.228,443,443,true,FRA,Europe,Frankfurt,197,9.47
34.116.228.159,443,443,true,FRA,Europe,Frankfurt,191,9.43
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,187,9.42
34.65.7.63,443,443,true,FRA,Europe,Frankfurt,172,9.41
34.118.62.37,443,443,true,FRA,Europe,Frankfurt,255,9.40
35.204.137.154,443,443,true,FRA,Europe,Frankfurt,186,9.39
34.65.205.182,443,443,true,FRA,Europe,Frankfurt,179,9.39
34.32.156.217,443,443,true,FRA,Europe,Frankfurt,177,9.39
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,201,9.39
34.116.143.136,443,443,true,FRA,Europe,Frankfurt,189,9.39
34.118.82.162,443,443,true,FRA,Europe,Frankfurt,192,9.38
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,171,9.38
35.232.39.116,80,80,false,DFW,North America,Dallas,205,9.36
34.118.82.162,443,443,true,FRA,Europe,Frankfurt,191,9.36
34.116.188.43,443,443,true,FRA,Europe,Frankfurt,196,9.36
34.116.235.243,443,443,true,FRA,Europe,Frankfurt,177,9.35
34.118.91.146,443,443,true,FRA,Europe,Frankfurt,195,9.33
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,184,9.33
34.107.19.191,443,443,true,FRA,Europe,Frankfurt,216,9.32
34.65.140.94,443,443,true,FRA,Europe,Frankfurt,203,9.31
34.118.38.185,443,443,true,FRA,Europe,Frankfurt,190,9.30
34.65.205.182,443,443,true,FRA,Europe,Frankfurt,180,9.29
34.118.91.146,443,443,true,FRA,Europe,Frankfurt,226,9.28
34.116.233.52,443,443,true,FRA,Europe,Frankfurt,190,9.28
34.34.39.103,443,443,true,FRA,Europe,Frankfurt,186,9.27
34.116.211.148,443,443,true,FRA,Europe,Frankfurt,203,9.27
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,180,9.26
34.154.169.43,443,443,true,FRA,Europe,Frankfurt,218,9.26
34.141.107.242,443,443,true,FRA,Europe,Frankfurt,171,9.26
34.65.227.116,443,443,true,FRA,Europe,Frankfurt,172,9.22
34.65.97.75,443,443,true,FRA,Europe,Frankfurt,177,9.22
34.154.189.245,443,443,true,FRA,Europe,Frankfurt,175,9.22
34.65.40.117,443,443,true,FRA,Europe,Frankfurt,177,9.22
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,189,9.21
34.118.68.149,443,443,true,FRA,Europe,Frankfurt,197,9.21
34.118.58.146,443,443,true,FRA,Europe,Frankfurt,195,9.20
34.118.61.152,443,443,true,FRA,Europe,Frankfurt,195,9.19
34.91.217.220,443,443,true,FRA,Europe,Frankfurt,201,9.19
34.118.5.104,443,443,true,FRA,Europe,Frankfurt,194,9.19
34.116.222.237,443,443,true,FRA,Europe,Frankfurt,283,9.18
34.118.121.61,443,443,true,FRA,Europe,Frankfurt,189,9.18
34.32.164.220,443,443,true,FRA,Europe,Frankfurt,179,9.18
34.107.36.146,443,443,true,FRA,Europe,Frankfurt,180,9.18
34.116.134.240,443,443,true,FRA,Europe,Frankfurt,287,9.18
34.118.70.10,443,443,true,FRA,Europe,Frankfurt,192,9.17
34.118.62.63,443,443,true,FRA,Europe,Frankfurt,190,9.17
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,264,9.16
34.118.40.250,443,443,true,FRA,Europe,Frankfurt,295,9.15
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,179,9.15
34.65.68.41,443,443,true,FRA,Europe,Frankfurt,188,9.14
34.116.189.139,443,443,true,FRA,Europe,Frankfurt,256,9.14
34.116.141.3,443,443,true,FRA,Europe,Frankfurt,332,9.14
34.65.51.65,443,443,true,FRA,Europe,Frankfurt,177,9.14
34.116.142.184,443,443,true,FRA,Europe,Frankfurt,197,9.14
34.118.50.233,443,443,true,FRA,Europe,Frankfurt,209,9.13
34.65.18.192,443,443,true,FRA,Europe,Frankfurt,173,9.13
34.116.190.16,443,443,true,FRA,Europe,Frankfurt,274,9.12
34.34.51.194,443,443,true,FRA,Europe,Frankfurt,178,9.12
34.154.70.45,443,443,true,FRA,Europe,Frankfurt,182,9.12
34.154.230.148,443,443,true,FRA,Europe,Frankfurt,179,9.12
34.116.251.158,443,443,true,FRA,Europe,Frankfurt,197,9.12
34.116.174.107,443,443,true,FRA,Europe,Frankfurt,871,9.11
34.118.75.185,443,443,true,FRA,Europe,Frankfurt,200,9.11
34.116.233.144,443,443,true,FRA,Europe,Frankfurt,279,9.11
34.65.59.28,443,443,true,FRA,Europe,Frankfurt,176,9.10
34.118.27.52,443,443,true,FRA,Europe,Frankfurt,195,9.10
34.118.68.149,443,443,true,FRA,Europe,Frankfurt,188,9.08
34.72.146.82,443,443,true,ORD,North America,Chicago,208,9.04
34.70.91.86,443,443,true,ORD,North America,Chicago,207,9.03
34.154.43.155,443,443,true,FRA,Europe,Frankfurt,180,9.03
34.123.83.237,443,443,true,ORD,North America,Chicago,206,9.02
35.199.37.84,443,443,true,IAD,North America,Ashburn,211,9.02
34.65.119.116,443,443,true,FRA,Europe,Frankfurt,190,9.02
34.72.146.82,443,443,true,ORD,North America,Chicago,205,9.02
35.226.211.129,443,443,true,ORD,North America,Chicago,258,9.02
34.118.31.28,443,443,true,FRA,Europe,Frankfurt,265,9.02
34.72.146.82,443,443,true,ORD,North America,Chicago,209,9.02
34.32.130.206,443,443,true,FRA,Europe,Frankfurt,177,9.02
34.123.83.237,443,443,true,ORD,North America,Chicago,205,9.02
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,191,9.01
34.116.139.226,443,443,true,FRA,Europe,Frankfurt,373,9.00
34.118.41.156,443,443,true,FRA,Europe,Frankfurt,194,9.00
34.66.72.229,443,443,true,ORD,North America,Chicago,205,9.00
34.29.228.169,443,443,true,ORD,North America,Chicago,207,9.00
34.116.134.240,443,443,true,FRA,Europe,Frankfurt,195,9.00
34.123.83.237,443,443,true,ORD,North America,Chicago,208,8.99
35.204.234.104,443,443,true,FRA,Europe,Frankfurt,179,8.98
34.116.185.16,443,443,true,FRA,Europe,Frankfurt,194,8.97
34.118.124.84,443,443,true,FRA,Europe,Frankfurt,179,8.97
34.145.145.76,443,443,true,IAD,North America,Ashburn,273,8.97
34.70.91.86,443,443,true,ORD,North America,Chicago,205,8.96
35.232.160.115,443,443,true,ORD,North America,Chicago,206,8.95
34.118.95.108,443,443,true,FRA,Europe,Frankfurt,192,8.95
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,191,8.94
34.118.114.231,443,443,true,FRA,Europe,Frankfurt,207,8.93
34.65.109.187,443,443,true,FRA,Europe,Frankfurt,176,8.93
34.116.228.159,443,443,true,FRA,Europe,Frankfurt,320,8.93
34.29.228.169,443,443,true,ORD,North America,Chicago,205,8.92
34.118.108.112,443,443,true,FRA,Europe,Frankfurt,200,8.90
34.145.145.76,443,443,true,IAD,North America,Ashburn,268,8.88
34.154.74.14,443,443,true,FRA,Europe,Frankfurt,179,8.88
34.122.12.237,443,443,true,ORD,North America,Chicago,206,8.88
34.66.72.229,443,443,true,ORD,North America,Chicago,205,8.88
34.65.193.203,443,443,true,FRA,Europe,Frankfurt,175,8.88
34.65.177.1,443,443,true,FRA,Europe,Frankfurt,192,8.86
34.118.75.185,443,443,true,FRA,Europe,Frankfurt,193,8.86
34.116.233.144,443,443,true,FRA,Europe,Frankfurt,190,8.85
34.91.84.121,443,443,true,FRA,Europe,Frankfurt,179,8.84
34.65.114.157,443,443,true,FRA,Europe,Frankfurt,172,8.83
34.65.129.192,443,443,true,FRA,Europe,Frankfurt,172,8.83
34.69.150.180,443,443,true,ORD,North America,Chicago,207,8.82
34.116.161.50,443,443,true,FRA,Europe,Frankfurt,192,8.82
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,205,8.82
34.118.121.61,443,443,true,FRA,Europe,Frankfurt,188,8.82
34.118.30.132,443,443,true,FRA,Europe,Frankfurt,194,8.81
34.65.215.201,443,443,true,FRA,Europe,Frankfurt,229,8.81
34.116.157.223,443,443,true,FRA,Europe,Frankfurt,195,8.80
34.118.78.109,443,443,true,FRA,Europe,Frankfurt,189,8.80
34.116.222.237,443,443,true,FRA,Europe,Frankfurt,201,8.80
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,190,8.79
34.118.40.250,443,443,true,FRA,Europe,Frankfurt,188,8.78
34.118.8.94,443,443,true,FRA,Europe,Frankfurt,318,8.78
34.118.63.83,443,443,true,FRA,Europe,Frankfurt,189,8.77
34.154.205.28,443,443,true,FRA,Europe,Frankfurt,175,8.77
34.118.124.151,443,443,true,FRA,Europe,Frankfurt,191,8.77
34.116.244.155,443,443,true,FRA,Europe,Frankfurt,191,8.76
34.116.186.105,443,443,true,FRA,Europe,Frankfurt,199,8.75
34.116.242.142,443,443,true,FRA,Europe,Frankfurt,203,8.74
34.65.52.128,443,443,true,FRA,Europe,Frankfurt,207,8.74
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,192,8.73
34.118.40.155,443,443,true,FRA,Europe,Frankfurt,545,8.73
34.65.130.144,443,443,true,FRA,Europe,Frankfurt,165,8.72
34.116.147.75,443,443,true,FRA,Europe,Frankfurt,188,8.72
34.116.228.34,443,443,true,FRA,Europe,Frankfurt,208,8.72
34.65.52.128,443,443,true,FRA,Europe,Frankfurt,185,8.72
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,172,8.71
34.118.114.236,443,443,true,FRA,Europe,Frankfurt,202,8.71
34.65.113.100,443,443,true,FRA,Europe,Frankfurt,182,8.69
34.116.229.139,443,443,true,FRA,Europe,Frankfurt,224,8.69
34.116.206.109,443,443,true,FRA,Europe,Frankfurt,262,8.68
34.118.47.182,443,443,true,FRA,Europe,Frankfurt,199,8.67
34.154.91.19,443,443,true,FRA,Europe,Frankfurt,175,8.67
34.65.78.31,443,443,true,FRA,Europe,Frankfurt,184,8.67
